test,feature,params,nperseg,length, size ,overall,negative,10m,20m,30m,40m
1,mfcc,13,,2," 1,222 ",67,98,100,71,50,27
1,mfcc,13,,3," 1,833 ",68,98,100,82,46,21
1,mfcc,13,,4," 2,444 ",58,100,98,67,28,8
1,mfcc,13,,5," 3,055 ",64,89,100,77,43,16
1,mfcc,13,,6," 3,666 ",61,100,100,77,30,8
1,mfcc,13,,7," 4,277 ",35,100,79,16,0,1
1,mfcc,13,,8," 4,888 ",39,98,89,22,2,2
1,mfcc,13,,9," 5,486 ",49,100,97,51,9,1
1,mfcc,13,,10," 6,097 ",52,100,97,40,26,12
1,mfcc,40,,2," 3,760 ",89,98,100,94,85,67
1,mfcc,40,,3," 5,640 ",81,100,100,97,71,43
1,mfcc,40,,4," 7,520 ",91,100,100,100,94,63
1,mfcc,40,,5," 9,400 ",91,100,100,99,95,64
1,mfcc,40,,6," 11,280 ",91,100,100,100,91,66
1,mfcc,40,,7," 13,160 ",83,100,100,94,73,51
1,mfcc,40,,8," 15,040 ",76,100,100,95,66,26
1,mfcc,40,,9," 16,880 ",76,100,100,93,62,31
1,mfcc,40,,10," 18,760 ",86,100,100,94,88,52
1,spectral,70-9000,4096,2," 19,825 ",91,99,100,99,92,66
1,spectral,70-9000,4096,3," 28,975 ",61,100,100,80,30,7
1,spectral,70-9000,8192,4," 39,637 ",78,100,100,97,65,35
1,spectral,70-9000,8192,5," 48,784 ",75,100,100,94,59,31
1,spectral,70-9000,16384,6," 54,873 ",95,96,100,100,96,81
1,spectral,70-9000,16384,7," 67,067 ",73,100,100,89,55,31
1,spectral,70-9000,16384,8," 79,261 ",90,96,100,100,91,61
1,spectral,70-9000,16384,9," 85,358 ",51,100,100,62,8,0
1,spectral,70-9000,32768,10," 97,544 ",71,100,100,90,50,26
1,spectral,350-3000,4096,2," 5,889 ",85,99,100,99,78,53
1,spectral,350-3000,4096,3," 8,607 ",88,100,100,100,83,58
1,spectral,350-3000,8192,4," 11,765 ",86,100,100,100,81,55
1,spectral,350-3000,8192,5," 14,480 ",73,100,100,92,57,25
1,spectral,350-3000,16384,6," 16,290 ",70,100,100,90,48,20
1,spectral,350-3000,16384,7," 19,910 ",87,100,100,98,82,56
1,spectral,350-3000,16384,8," 23,530 ",82,98,100,95,72,48
1,spectral,350-3000,16384,9," 25,340 ",76,100,100,95,61,29
1,spectral,350-3000,32768,10," 28,952 ",81,100,100,93,69,48
2,mfcc,13,,2," 1,222 ",84,98,100,92,74,58
2,mfcc,13,,3," 1,833 ",85,98,100,94,75,62
2,mfcc,13,,4," 2,444 ",82,100,100,93,72,50
2,mfcc,13,,5," 3,055 ",87,89,100,97,85,63
2,mfcc,13,,6," 3,666 ",83,100,100,96,75,49
2,mfcc,13,,7," 4,277 ",56,100,92,47,25,29
2,mfcc,13,,8," 4,888 ",68,98,100,72,42,34
2,mfcc,13,,9," 5,486 ",77,100,100,87,65,38
2,mfcc,13,,10," 6,097 ",73,100,100,83,54,34
2,mfcc,40,,2," 3,760 ",87,98,100,95,81,61
2,mfcc,40,,3," 5,640 ",86,100,100,99,80,52
2,mfcc,40,,4," 7,520 ",92,100,100,99,84,79
2,mfcc,40,,5," 9,400 ",84,100,100,100,94,31
2,mfcc,40,,6," 11,280 ",92,100,100,100,100,63
2,mfcc,40,,7," 13,160 ",83,100,100,97,80,41
2,mfcc,40,,8," 15,040 ",81,100,100,100,80,32
2,mfcc,40,,9," 16,880 ",80,100,100,94,68,43
2,mfcc,40,,10," 18,760 ",91,100,100,98,88,72
2,spectral,70-9000,4096,2," 19,825 ",96,99,100,100,99,81
2,spectral,70-9000,4096,3," 28,975 ",79,100,100,93,61,45
2,spectral,70-9000,8192,4," 39,637 ",94,100,100,98,92,79
2,spectral,70-9000,8192,5," 48,784 ",95,100,100,99,88,88
2,spectral,70-9000,16384,6," 54,873 ",98,96,100,100,99,91
2,spectral,70-9000,16384,7," 67,067 ",91,100,100,97,79,79
