feature,params,length,index,overall,negative,10m,20m,30m,40m
mfcc,13,7,0,46,95,94,37,14,6
mfcc,13,7,1,58,100,100,63,32,8
mfcc,13,7,2,38,100,76,30,2,1
mfcc,13,7,3,51,100,98,45,20,6
mfcc,13,7,4,44,100,88,40,11,0
mfcc,13,7,5,48,100,95,41,15,3
mfcc,13,7,6,58,100,100,65,29,7
mfcc,13,7,7,54,100,100,48,27,9
mfcc,13,7,8,50,96,98,45,21,1
mfcc,13,7,9,52,100,81,41,33,21
mfcc,13,7,10,65,100,100,71,39,22
mfcc,13,7,11,50,100,96,40,23,5
mfcc,13,7,12,59,96,98,48,37,21
mfcc,13,7,13,49,100,86,41,26,8
mfcc,13,7,14,54,100,100,58,18,7
mfcc,13,7,15,61,96,100,70,40,7
mfcc,13,7,16,58,96,100,68,23,11
mfcc,13,7,17,41,100,90,30,2,0
mfcc,13,7,18,51,100,100,44,20,6
mfcc,13,7,19,56,100,100,47,33,13
mfcc,13,7,20,54,100,100,42,28,13
mfcc,13,7,21,53,100,100,48,27,5
mfcc,13,7,22,51,95,93,42,31,5
mfcc,13,7,23,64,100,97,62,41,31
mfcc,13,7,24,61,100,100,72,33,11
mfcc,13,7,25,42,100,69,37,20,1
mfcc,13,7,26,46,100,100,35,9,2
mfcc,13,7,27,75,93,100,84,63,40
mfcc,13,7,28,46,100,79,38,23,5
mfcc,13,7,29,47,100,95,40,13,2
mfcc,13,7,30,52,100,98,44,23,7
mfcc,13,7,31,51,100,97,43,27,4
mfcc,13,7,32,48,98,93,39,19,3
mfcc,13,7,33,43,100,90,36,6,2
mfcc,13,7,34,50,100,100,43,19,2
mfcc,13,7,35,47,100,87,40,20,3
mfcc,13,7,36,50,100,94,44,20,4
mfcc,13,7,37,51,100,90,59,15,4
mfcc,13,7,38,60,98,93,71,37,13
mfcc,13,7,39,36,100,81,17,1,1
mfcc,13,7,40,48,100,91,47,15,3
mfcc,13,7,41,77,98,100,95,56,40
mfcc,13,7,42,68,89,100,90,46,21
mfcc,13,7,43,36,100,71,26,4,0
mfcc,13,7,44,57,100,100,69,27,4
mfcc,13,7,45,54,100,100,57,21,4
mfcc,13,7,46,45,100,96,36,7,1
mfcc,13,7,47,35,96,87,10,2,0
mfcc,13,7,48,49,100,91,44,22,2
mfcc,13,7,49,32,100,78,5,0,0
mfcc,13,7,50,48,100,96,53,8,1
mfcc,13,7,51,39,100,91,22,1,0
mfcc,13,7,52,55,100,100,52,25,11
mfcc,13,7,53,38,100,64,34,11,1
mfcc,13,7,54,40,100,92,27,1,1
mfcc,13,7,55,40,100,85,28,4,0
mfcc,13,7,56,47,100,90,39,19,4
mfcc,13,7,57,65,98,100,77,40,18
mfcc,13,7,58,58,100,97,51,33,22
mfcc,13,7,59,42,100,97,25,3,1
mfcc,13,7,60,44,100,93,37,5,0
mfcc,13,7,61,38,100,82,28,1,1
mfcc,13,7,62,34,100,67,22,1,0
mfcc,13,7,63,70,100,100,80,47,32
mfcc,13,7,64,36,100,85,17,0,0
mfcc,13,7,65,45,100,95,40,6,0
mfcc,13,7,66,55,100,100,52,29,10
mfcc,13,7,67,40,100,82,34,5,0
mfcc,13,7,68,42,100,90,35,2,0
mfcc,13,7,69,64,95,100,62,50,22
mfcc,13,7,70,60,98,100,75,34,4
mfcc,13,7,71,39,100,90,22,0,0
mfcc,13,7,72,66,100,100,69,40,30
mfcc,13,7,73,54,100,89,47,30,19
mfcc,13,7,74,64,100,96,61,40,31
mfcc,13,7,75,21,100,30,0,0,0
mfcc,13,7,76,37,100,82,22,1,0
mfcc,13,7,77,44,100,88,39,10,1
mfcc,13,7,78,50,98,100,51,12,2
mfcc,13,7,79,56,100,94,58,29,13
mfcc,13,7,80,43,100,89,38,6,0
spectral,70-9000,6,0,95,90,100,100,100,97
spectral,70-9000,6,1,96,98,100,100,95,87
spectral,70-9000,6,2,97,100,100,100,97,87
spectral,70-9000,6,3,99,98,100,100,97,97
spectral,70-9000,6,4,93,100,100,98,85,85
spectral,70-9000,6,5,99,95,100,100,100,100
spectral,70-9000,6,6,95,98,100,98,87,90
spectral,70-9000,6,7,98,98,100,100,97,95
spectral,70-9000,6,8,89,100,100,97,77,74
spectral,70-9000,6,9,99,97,100,100,99,98
spectral,70-9000,6,10,99,96,100,100,99,97
spectral,70-9000,6,11,90,100,100,96,80,75
spectral,70-9000,6,12,95,100,100,100,92,93
spectral,70-9000,6,13,89,100,100,98,84,66
spectral,70-9000,6,14,99,97,100,100,99,98
spectral,70-9000,6,15,99,97,100,100,99,99
spectral,70-9000,6,16,98,100,100,100,97,90
spectral,70-9000,6,17,96,100,100,100,92,90
spectral,70-9000,6,18,93,100,100,99,88,78
spectral,70-9000,6,19,98,98,100,100,97,94
spectral,70-9000,6,20,96,100,100,100,96,85
spectral,70-9000,6,21,93,100,100,97,88,80
spectral,70-9000,6,22,99,98,100,100,98,95
spectral,70-9000,6,23,93,100,100,98,85,85
spectral,70-9000,6,24,92,100,100,97,83,80
spectral,70-9000,6,25,95,98,100,100,90,85
